web-scraper-order,web-scraper-start-url,squadraCasa,squadraOspite,selectorRisultato,linkPartita,linkPartita-href,selectorQuota1Media,selectorQuotaxMedia,selectorQuota2Media,buttonUnderOver,selectorQuotaOver25Media,selectorQuotaUnder25Media,buttonGoalNoGoal,paginationButton,selectorQuotaGoalMedia,selectorQuotaNoGoalMedia
"1739926313-1","https://www.oddsportal.com/it/football/france/ligue-1/results/","Angers","Nantes","1–1","17:00Angers11–1Nantes1","https://www.oddsportal.com/it/football/france/ligue-1/angers-nantes-6HPisxHl/","3.13","3.13","2.37","","2.21","1.61","","","1.92","1.79"
"1739926322-2","https://www.oddsportal.com/it/football/france/ligue-1/results/","Lione","Marsiglia","2–3","20:45Lione22–3Marsiglia3","https://www.oddsportal.com/it/football/france/ligue-1/lione-marsiglia-S66OuPup/","2.76","3.61","2.37","","1.58","2.26","","","1.50","2.44"
"1739926330-3","https://www.oddsportal.com/it/football/france/ligue-1/results/","Auxerre","Brest","3–0","19:00Auxerre33–0Brest0","https://www.oddsportal.com/it/football/france/ligue-1/auxerre-brest-MRfkjXaJ/","2.94","3.30","2.39","","1.83","1.90","","","1.65","2.11"
"1739926339-4","https://www.oddsportal.com/it/football/france/ligue-1/results/","PSG","Rennes","3–1","21:00PSG33–1Rennes1","https://www.oddsportal.com/it/football/france/ligue-1/psg-rennes-zBdshgV6/","1.40","4.81","7.25","","1.55","2.33","","","1.77","1.95"
"1739926348-5","https://www.oddsportal.com/it/football/france/ligue-1/results/","Lens","Nizza","0–0","17:00Lens00–0Nizza0","https://www.oddsportal.com/it/football/france/ligue-1/lens-nizza-v3PZcqJP/","1.90","3.38","4.21","","2.02","1.72","","","1.85","1.85"
"1739926356-6","https://www.oddsportal.com/it/football/france/ligue-1/results/","Angers","PSG","2–4","21:00Angers22–4PSG4","https://www.oddsportal.com/it/football/france/ligue-1/angers-psg-dYK8BH5F/","10.58","5.94","1.25","","1.45","2.60","","","1.88","1.82"
"1739926365-7","https://www.oddsportal.com/it/football/france/ligue-1/results/","Nizza","Lilla","2–2","15:00Nizza22–2Lilla2","https://www.oddsportal.com/it/football/france/ligue-1/nizza-lilla-l8H0Dwy3/","2.31","3.21","3.16","","1.97","1.77","","","1.72","1.99"
"1739926373-8","https://www.oddsportal.com/it/football/france/ligue-1/results/","Rennes","Tolosa","0–2","17:00Rennes00–2Tolosa2","https://www.oddsportal.com/it/football/france/ligue-1/rennes-tolosa-WWnG5RHd/","2.26","3.31","3.13","","1.99","1.76","","","1.77","1.94"
"1739926382-9","https://www.oddsportal.com/it/football/france/ligue-1/results/","Montpellier","Brest","3–1","17:00Montpellier33–1Brest1","https://www.oddsportal.com/it/football/france/ligue-1/montpellier-brest-QB1LGiQc/","2.82","3.21","2.53","","1.99","1.74","","","1.74","1.98"
"1739926390-10","https://www.oddsportal.com/it/football/france/ligue-1/results/","Le Havre","Reims","0–3","17:00Le Havre00–3Reims3","https://www.oddsportal.com/it/football/france/ligue-1/le-havre-reims-nRkUEVfA/","3.42","3.08","2.25","","2.18","1.63","","","1.85","1.86"
"1739926399-11","https://www.oddsportal.com/it/football/france/ligue-1/results/","Marsiglia","Le Havre","5–1","20:45Marsiglia55–1Le Havre1","https://www.oddsportal.com/it/football/france/ligue-1/marsiglia-le-havre-08npCrcJ/","1.29","5.32","9.92","","1.69","2.06","","","2.17","1.62"
"1739926407-12","https://www.oddsportal.com/it/football/france/ligue-1/results/","Nantes","Monaco","2–2","19:00Nantes22–2Monaco2","https://www.oddsportal.com/it/football/france/ligue-1/nantes-monaco-vFZBQsCC/","3.75","3.25","2.03","","2.02","1.71","","","1.82","1.90"
"1739926415-13","https://www.oddsportal.com/it/football/france/ligue-1/results/","Auxerre","Lilla","0–0","21:05Auxerre00–0Lilla0","https://www.oddsportal.com/it/football/france/ligue-1/auxerre-lilla-pE1q8Zeo/","4.87","3.60","1.72","","1.83","1.90","","","1.76","1.97"
"1739926423-14","https://www.oddsportal.com/it/football/france/ligue-1/results/","Brest","Lione","2–1","17:00Brest22–1Lione1","https://www.oddsportal.com/it/football/france/ligue-1/brest-lione-rTo42DuT/","3.45","3.46","2.06","","1.75","1.99","","","1.62","2.17"
"1739926432-15","https://www.oddsportal.com/it/football/france/ligue-1/results/","Reims","Nizza","2–4","19:00Reims22–4Nizza4","https://www.oddsportal.com/it/football/france/ligue-1/reims-nizza-Muxt8HBi/","2.78","3.25","2.50","","1.83","1.90","","","1.62","2.18"
"1739926440-16","https://www.oddsportal.com/it/football/france/ligue-1/results/","Montpellier","Lione","1–4","15:00Montpellier11–4Lione4","https://www.oddsportal.com/it/football/france/ligue-1/montpellier-lione-f3RO6MX7/","5.19","4.50","1.55","","1.43","2.64","","","1.52","2.37"
"1739926448-17","https://www.oddsportal.com/it/football/france/ligue-1/results/","Reims","Angers","0–1","17:15Reims00–1Angers1","https://www.oddsportal.com/it/football/france/ligue-1/reims-angers-YgnbLLn1/","1.91","3.28","4.24","","2.17","1.62","","","1.94","1.76"
"1739926456-18","https://www.oddsportal.com/it/football/france/ligue-1/results/","Lens","Strasburgo","0–2","17:15Lens00–2Strasburgo2","https://www.oddsportal.com/it/football/france/ligue-1/lens-strasburgo-ncEAUPPE/","1.84","3.67","4.03","","1.68","2.07","","","1.63","2.14"
"1739926465-19","https://www.oddsportal.com/it/football/france/ligue-1/results/","Le Havre","Nizza","1–3","17:15Le Havre11–3Nizza3","https://www.oddsportal.com/it/football/france/ligue-1/le-havre-nizza-tKk6JaHD/","5.31","3.99","1.61","","1.73","2.00","","","1.76","1.94"
"1739926473-20","https://www.oddsportal.com/it/football/france/ligue-1/results/","Rennes","Lilla","0–2","20:45Rennes00–2Lilla2","https://www.oddsportal.com/it/football/france/ligue-1/rennes-lilla-CvbkNsIl/","2.93","3.07","2.52","","2.17","1.63","","","1.83","1.88"
"1739926517-21","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Montpellier","Le Havre","2–2","15:00Montpellier22–2Le Havre2","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/montpellier-le-havre-x8rvY5sh/","1.70","3.64","5.07","","2.07","1.70","","","1.93","1.78"
"1739926525-22","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Clermont","Monaco","2–4","15:00Clermont22–4Monaco4","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/clermont-monaco-tWXTFORN/","2.96","3.45","2.29","","1.74","2.01","","","1.60","2.21"
"1739926534-23","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Rennes","Metz","5–1","17:05Rennes55–1Metz1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/rennes-metz-O4vzZoSo/","1.60","4.10","5.19","","1.69","2.08","","","1.74","2.00"
"1739926542-24","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Strasburgo","Lione","2–1","20:45Strasburgo22–1Lione1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/strasburgo-lione-8h4QErsU/","2.45","3.47","2.74","","1.65","2.15","","","1.53","2.36"
"1739926550-25","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Metz","Marsiglia","2–2","21:00Metz22–2Marsiglia2","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/metz-marsiglia-UZpnZeLF/","4.60","3.88","1.71","","1.69","2.07","","","1.67","2.10"
"1739926559-26","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Clermont","PSG","0–0","17:00Clermont00–0PSG0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/clermont-psg-KAtQlOKN/","7.87","4.97","1.38","","1.60","2.24","","","1.81","1.91"
"1739926567-27","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Monaco","Marsiglia","3–2","21:00Monaco33–2Marsiglia2","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/monaco-marsiglia-CpwIjpjB/","2.41","3.68","2.72","","1.53","2.39","","","1.45","2.58"
"1739926576-28","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Reims","Lione","2–0","13:00Reims22–0Lione0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/reims-lione-2ZVUmrzU/","1.89","3.78","3.79","","1.63","2.19","","","1.56","2.30"
"1739926584-29","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Nizza","Brest","0–0","15:00Nizza00–0Brest0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/nizza-brest-tKsMk45H/","1.77","3.65","4.52","","1.91","1.83","","","1.83","1.89"
"1739926592-30","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Le Havre","Lilla","0–2","15:00Le Havre00–2Lilla2","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/le-havre-lilla-xSMdq2ro/","4.47","3.54","1.81","","1.97","1.78","","","1.84","1.87"
"1739926601-31","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","PSG","Monaco","5–2","21:00PSG55–2Monaco2","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/psg-monaco-8AJ2LGCa/","1.47","4.89","5.78","","1.33","3.16","","","1.46","2.58"
"1739926610-32","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Clermont","Lens","0–3","17:00Clermont00–3Lens3","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/clermont-lens-GGtUyxct/","3.82","3.41","1.99","","2.00","1.75","","","1.85","1.88"
"1739926620-33","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Strasburgo","Marsiglia","1–1","21:00Strasburgo11–1Marsiglia1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/strasburgo-marsiglia-jZ87KzS5/","4.07","3.51","1.89","","1.93","1.81","","","1.79","1.93"
"1739926628-34","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Nizza","Tolosa","1–0","13:00Nizza11–0Tolosa0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/nizza-tolosa-E7f2tIlP/","1.52","4.08","6.52","","1.89","1.85","","","2.01","1.73"
"1739926636-35","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Montpellier","Brest","1–3","15:00Montpellier11–3Brest3","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/montpellier-brest-MDqxzGRh/","2.24","3.33","3.21","","1.93","1.81","","","1.71","2.04"
"1739926645-36","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Rennes","Nizza","2–0","21:00Rennes22–0Nizza0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/rennes-nizza-K6A8E208/","2.36","3.15","3.13","","2.21","1.61","","","1.88","1.83"
"1739926653-37","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Lilla","Lorient","3–0","13:00Lilla33–0Lorient0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/lilla-lorient-6NCKB0pR/","1.27","5.60","10.91","","1.70","2.07","","","2.26","1.57"
"1739926662-38","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Nantes","Clermont","1–2","15:00Nantes11–2Clermont2","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/nantes-clermont-Q7gi6v8l/","1.90","3.48","4.06","","1.96","1.79","","","1.82","1.89"
"1739926670-39","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Metz","Tolosa","0–1","15:00Metz00–1Tolosa1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/metz-tolosa-bLia4Ix1/","2.94","3.06","2.54","","2.28","1.58","","","1.93","1.79"
"1739926679-40","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Brest","Montpellier","2–0","15:00Brest22–0Montpellier0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/brest-montpellier-QsOe3xh7/","1.78","3.57","4.59","","1.97","1.77","","","1.88","1.84"
"1739926687-41","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","PSG","Rennes","1–1","17:05PSG11–1Rennes1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/psg-rennes-MVpPRXiM/","1.32","5.46","8.36","","1.40","2.78","","","1.66","2.12"
"1739926696-42","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Marsiglia","Montpellier","4–1","20:45Marsiglia44–1Montpellier1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/marsiglia-montpellier-zwRaLVUk/","1.68","3.87","4.82","","1.70","2.05","","","1.69","2.06"
"1739926704-43","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Monaco","PSG","0–0","21:00Monaco00–0PSG0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/monaco-psg-OdSzNr6f/","3.32","3.91","1.99","","1.40","2.80","","","1.39","2.83"
"1739926712-44","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Reims","Lilla","0–1","17:00Reims00–1Lilla1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/reims-lilla-ADUnKtjD/","2.83","3.33","2.45","","1.82","1.92","","","1.63","2.15"
"1739926721-45","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Clermont","Marsiglia","1–5","21:00Clermont11–5Marsiglia5","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/clermont-marsiglia-dAQrLMz7/","5.06","4.06","1.63","","1.62","2.21","","","1.65","2.12"
"1739926729-46","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Le Havre","Nantes","0–1","13:00Le Havre00–1Nantes1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/le-havre-nantes-pAHN761q/","2.45","2.91","3.25","","2.58","1.46","","","2.06","1.68"
"1739926738-47","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Clermont","Montpellier","1–1","15:00Clermont11–1Montpellier1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/clermont-montpellier-SUUeCngS/","3.20","3.56","2.15","","1.63","2.17","","","1.54","2.34"
"1739926746-48","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Lione","Brest","4–3","20:45Lione44–3Brest3","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/lione-brest-lvWiDSwM/","2.05","3.32","3.70","","1.94","1.79","","","1.76","1.96"
"1739926754-49","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Nizza","Lorient","3–0","21:00Nizza33–0Lorient0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/nizza-lorient-p61MS7w9/","1.54","4.12","6.01","","1.82","1.92","","","1.90","1.82"
"1739926763-50","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Nantes","Rennes","0–3","17:00Nantes00–3Rennes3","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/nantes-rennes-zefZP5NR/","3.00","3.15","2.43","","2.15","1.65","","","1.85","1.87"
"1739926771-51","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Le Havre","Marsiglia","1–2","21:00Le Havre11–2Marsiglia2","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/le-havre-marsiglia-88K4TzrO/","4.51","3.81","1.74","","1.66","2.11","","","1.65","2.13"
"1739926780-52","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Rodez","Paris FC","3–2","20:30pen.Rodez33–2Paris FC2 pen.","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/rodez-paris-fc-xbTyN52l/","2.31","3.15","3.12","","2.01","1.71","","","1.75","1.95"
"1739926788-53","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","St. Etienne","Rodez","2–0","20:30St. Etienne22–0Rodez0","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/st-etienne-rodez-UmxckAJN/","1.73","3.69","4.45","","1.56","2.28","","","1.53","2.33"
"1739926796-54","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","St. Etienne","Metz","2–1","20:30St. Etienne22–1Metz1","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/st-etienne-metz-6exBKToJ/","1.95","3.31","3.95","","1.97","1.75","","","1.80","1.89"
"1739926805-55","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/results/","Metz","St. Etienne","2–2","17:00ETMetz22–2St. Etienne2 ET","https://www.oddsportal.com/it/football/france/ligue-1-2023-2024/metz-st-etienne-KxqNRpgn/","2.54","3.33","2.68","","1.87","1.86","","","1.68","2.06"
"1739926856-56","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Clermont","Nizza","1–0","15:00Clermont11–0Nizza0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/clermont-nizza-zenKWmIT/","3.57","3.29","2.11","","1.95","1.79","","","1.76","1.97"
"1739926864-57","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Angers","Brest","1–3","15:00Angers11–3Brest3","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/angers-brest-tYnGXT2N/","2.39","3.18","3.06","","1.95","1.79","","","1.73","2.00"
"1739926873-58","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Rennes","AC Ajaccio","2–1","17:05Rennes22–1AC Ajaccio1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/rennes-ac-ajaccio-tY8om92A/","1.48","4.15","7.07","","1.97","1.76","","","2.13","1.65"
"1739926881-59","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Lilla","PSG","1–7","20:45Lilla11–7PSG7","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/lilla-psg-AmwnS7Qp/","7.38","5.46","1.36","","1.42","2.72","","","1.64","2.15"
"1739926890-60","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","AC Ajaccio","Lilla","1–3","21:00AC Ajaccio11–3Lilla3","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/ac-ajaccio-lilla-lbCgomXM/","3.15","3.12","2.37","","2.33","1.55","","","1.99","1.74"
"1739926898-61","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Marsiglia","Rennes","1–1","15:00Marsiglia11–1Rennes1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/marsiglia-rennes-QiVMYCrg/","2.04","3.51","3.53","","1.75","1.98","","","1.62","2.17"
"1739926907-62","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Clermont","Troyes","1–3","15:00Clermont11–3Troyes3","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/clermont-troyes-KE8eIibC/","2.31","3.25","3.13","","1.98","1.77","","","1.74","1.99"
"1739926915-63","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Brest","AC Ajaccio","0–1","15:00Brest00–1AC Ajaccio1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/brest-ac-ajaccio-KEUQXWca/","2.12","3.10","3.78","","2.37","1.54","","","2.00","1.74"
"1739926923-64","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Nantes","Lens","0–0","17:05Nantes00–0Lens0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/nantes-lens-2wb0HBDI/","3.53","3.60","2.01","","1.72","2.04","","","1.61","2.20"
"1739926932-65","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Lione","PSG","0–1","20:45Lione00–1PSG1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/lione-psg-EHRIZhTn/","5.07","4.87","1.53","","1.30","3.30","","","1.40","2.74"
"1739926940-66","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Nantes","Clermont","1–1","15:00Nantes11–1Clermont1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/nantes-clermont-xfwko2kD/","1.93","3.62","3.81","","1.81","1.92","","","1.70","2.04"
"1739926949-67","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Monaco","Angers","2–0","15:00Monaco22–0Angers0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/monaco-angers-4SPsmOK0/","1.43","4.81","6.65","","1.48","2.51","","","1.66","2.10"
"1739926957-68","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Brest","Reims","0–0","15:00Brest00–0Reims0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/brest-reims-691C23Km/","2.71","3.33","2.57","","1.82","1.91","","","1.65","2.12"
"1739926966-69","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Lorient","Nizza","1–2","17:05Lorient11–2Nizza2","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/lorient-nizza-b3vonrz7/","2.62","3.25","2.72","","2.11","1.67","","","1.84","1.88"
"1739926974-70","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Lione","Lilla","1–0","20:45Lione11–0Lilla0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/lione-lilla-vaHX9oSD/","1.99","3.71","3.53","","1.57","2.27","","","1.52","2.38"
"1739926983-71","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Troyes","Marsiglia","0–2","21:00Troyes00–2Marsiglia2","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/troyes-marsiglia-bcccZbif/","5.10","3.93","1.65","","1.73","2.02","","","1.71","2.03"
"1739926991-72","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Strasburgo","Lens","2–2","21:00Strasburgo22–2Lens2","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/strasburgo-lens-jXgkyLMs/","3.77","3.29","2.04","","2.07","1.69","","","1.86","1.86"
"1739926999-73","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","PSG","Angers","2–0","21:00PSG22–0Angers0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/psg-angers-E7WLhmhF/","1.18","7.42","14.56","","1.37","2.92","","","1.97","1.75"
"1739927008-74","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Nizza","Montpellier","6–1","21:00Nizza66–1Montpellier1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/nizza-montpellier-no0PgTx9/","1.84","3.57","4.23","","1.88","1.85","","","1.78","1.95"
"1739927016-75","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Lorient","Monaco","2–2","21:00Lorient22–2Monaco2","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/lorient-monaco-fiDwWPp2/","4.39","3.87","1.75","","1.63","2.19","","","1.59","2.25"
"1739927025-76","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Montpellier","Brest","3–0","15:00Montpellier33–0Brest0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/montpellier-brest-jDZ4BDL8/","2.36","3.25","3.09","","1.98","1.77","","","1.75","1.99"
"1739927033-77","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Lilla","Strasburgo","2–0","15:00Lilla22–0Strasburgo0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/lilla-strasburgo-CMz1Cg62/","1.43","4.63","6.97","","1.65","2.13","","","1.88","1.85"
"1739927041-78","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Angers","Auxerre","1–1","15:00Angers11–1Auxerre1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/angers-auxerre-2igAkWbk/","2.38","3.23","3.03","","2.08","1.68","","","1.83","1.89"
"1739927050-79","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Nantes","Lorient","1–0","17:05Nantes11–0Lorient0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/nantes-lorient-z5iImAT1/","1.95","3.44","3.93","","1.94","1.80","","","1.80","1.93"
"1739927058-80","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Lione","Lens","2–1","20:45Lione22–1Lens1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/lione-lens-bwwD9ijL/","2.48","3.27","2.87","","2.04","1.72","","","1.79","1.95"
"1739927067-81","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Strasburgo","Auxerre","2–0","15:00Strasburgo22–0Auxerre0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/strasburgo-auxerre-SYIdeeW3/","1.99","3.28","3.97","","2.22","1.61","","","1.96","1.77"
"1739927075-82","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Nizza","Lorient","1–1","15:00Nizza11–1Lorient1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/nizza-lorient-ttw2ZD9p/","1.62","3.85","5.49","","1.91","1.82","","","1.90","1.82"
"1739927083-83","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Montpellier","Clermont","2–1","15:00Montpellier22–1Clermont1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/montpellier-clermont-0neZwf1T/","1.80","3.55","4.53","","2.08","1.68","","","1.95","1.77"
"1739927092-84","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","PSG","Rennes","0–2","17:05PSG00–2Rennes2","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/psg-rennes-YZPmcH1i/","1.47","4.60","6.17","","1.53","2.37","","","1.67","2.09"
"1739927100-85","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Reims","Marsiglia","1–2","20:45Reims11–2Marsiglia2","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/reims-marsiglia-6PH0fFoA/","2.94","3.38","2.37","","1.78","1.96","","","1.64","2.14"
"1739927109-86","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Clermont","Reims","1–0","15:00Clermont11–0Reims0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/clermont-reims-UcgD8QNH/","3.14","3.49","2.21","","1.82","1.92","","","1.68","2.08"
"1739927117-87","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","PSG","Lorient","1–3","17:05PSG11–3Lorient3","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/psg-lorient-2oORRmOu/","1.17","7.85","12.86","","1.29","3.38","","","1.81","1.90"
"1739927126-88","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Marsiglia","Auxerre","2–1","20:45Marsiglia22–1Auxerre1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/marsiglia-auxerre-xOdL64hU/","1.29","5.59","9.82","","1.61","2.23","","","2.05","1.69"
"1739927134-89","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Tolosa","Lens","0–1","21:00Tolosa00–1Lens1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/tolosa-lens-WQFrO5N4/","4.87","4.25","1.61","","1.51","2.43","","","1.56","2.28"
"1739927142-90","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Brest","Nantes","2–0","21:00Brest22–0Nantes0","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/brest-nantes-ABRZPRhh/","2.45","3.08","3.08","","2.28","1.57","","","1.92","1.80"
"1739927151-91","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Monaco","Tolosa","1–2","21:00Monaco11–2Tolosa2","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/monaco-tolosa-SSs5h8YC/","1.37","5.88","6.29","","1.28","3.43","","","1.46","2.54"
"1739927159-92","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/results/","Lorient","Strasburgo","2–1","21:00Lorient22–1Strasburgo1","https://www.oddsportal.com/it/football/france/ligue-1-2022-2023/lorient-strasburgo-6Jt9iSmJ/","2.99","3.49","2.22","","1.68","2.08","","","1.56","2.28"
